130.33,474.26,130.33,523.01,519.39,523.01,519.39,474.26,振鑫电子配件店
240.96,205.62,240.96,245.93,284.08,245.93,284.08,205.62,®
150.96,240.3,150.96,288.12,225.02,288.12,225.02,240.3,PJ
150.54,426.43,153.75,454.29,222.32,448.93,220.18,421.07,CQC
130.33,334.99,129.39,372.49,322.52,360.3,325.33,326.55,450V.AC
324.39,220.62,324.39,267.49,483.77,267.49,483.77,220.62,CBB61
310.33,272.18,310.33,314.37,488.46,314.37,488.46,272.18,4μF±5%
357.21,325.62,360.02,358.43,534.39,352.8,532.52,318.12,50/60Hz
278.46,376.24,280.33,408.12,481.89,401.55,483.77,364.99,40/70/21
246.58,416.55,246.58,448.43,446.27,438.64,439.71,408.64,CQC050060
368.46,445.62,368.46,480.3,440.64,480.3,440.64,445.62,2013
446.27,410.51,446.27,443.32,462.21,443.32,462.21,410.51,###
465.02,436.76,465.02,403.95,541.89,403.95,541.89,436.76,3438
