45.45,226.83,11.87,181.79,183.84,13.1,233.79,49.95,时尚袋袋
345.98,311.18,345.98,347.21,462.26,347.21,462.26,311.18,73774
462.26,292.34,461.44,299.71,502.39,299.71,502.39,292.34,73/74/737
454.07,302.17,454.07,311.18,500.75,311.18,500.75,302.17,73774/73774
472.09,341.48,472.09,348.85,507.3,348.85,507.3,341.48,73774/73
503.21,334.11,503.21,291.52,559.71,291.52,559.71,334.11,74
232.97,522.45,232.97,572.4,478.64,572.4,478.64,522.45,百事可乐
427.05,488.88,427.05,511.81,457.35,511.81,457.35,488.88,74
167.46,333.29,167.46,366.04,187.94,366.04,187.94,333.29,0
204.31,353.76,204.31,400.44,173.19,400.44,173.19,353.76,###
236.25,322.64,236.25,365.22,266.55,365.22,266.55,322.64,R
264.09,292.34,264.09,332.47,291.93,332.47,291.93,292.34,###
336.15,318.55,336.15,350.48,303.4,350.48,303.4,318.55,###
420.5,352.12,420.5,375.87,469.63,375.87,469.63,352.12,377
509.76,371.78,509.76,393.89,543.33,394.7,541.7,371.78,73
221.51,438.92,219.87,465.13,242.8,465.13,242.8,441.38,O
203.49,493.79,203.49,527.36,230.52,527.36,230.52,493.79,0
590.83,687.87,574.45,673.13,692.37,550.29,707.93,565.03,QQ：264623
556.43,676.4,536.78,662.48,679.27,529.0,689.1,539.65,旺旺：cytivan
493.38,691.96,480.28,677.22,690.73,474.14,702.2,487.24,手机：15158528887
416.4,716.53,356.63,651.84,659.62,358.67,719.39,421.73,时尚袋袋
