79.21,236.23,80.32,318.49,262.63,289.03,256.52,212.33,开心
269.86,221.78,269.3,265.69,534.43,225.11,534.99,182.87,HAPPYGO！
79.21,350.17,80.87,430.77,166.47,417.43,165.92,341.84,购
174.81,307.93,174.81,419.1,298.76,401.87,298.2,290.14,购
312.66,262.91,313.77,401.31,467.73,377.97,463.29,240.68,购
504.42,235.67,503.86,351.29,602.25,337.95,601.13,220.67,！！！
127.01,534.16,127.01,585.29,545.55,585.29,545.55,534.16,2012女装部分款
132.01,595.3,130.34,821.52,543.33,821.52,543.88,593.63,7折
265.41,850.98,265.41,892.11,403.26,892.11,403.26,850.98,特价款
125.9,900.45,124.78,943.25,544.44,943.25,543.88,902.12,一件5折，两件4.5折
